DRE;CODESC;TIPOESC;NOMESC;DIRETORIA;SUBPREF;CEU;ENDERECO;NUMERO;BAIRRO;CEP;TEL1;TEL2;FAX;SITUACAO;CODDIST;DISTRITO;SETOR;CODINEP;CODCIE;EH;DT_CRIACAO;ATO_CRIACAO;DOM_CRIACAO;DT_INI_FUNC;DT_AUTORIZA;NOME_ANT;T2D3D;T2D3D16;T2D3D15;T2D3D14;T2D3D13;T2D3D12;T2D3D11;T2D3D10;T2D3D09;T2D3D08;T2D3D07;DTURNOS;DTURNOS16;DTURNOS15;DTURNOS14;DTURNOS13;DTURNOS12;DTURNOS11;DTURNOS10;DTURNOS09;DTURNOS08;DTURNOS07;LATITUDE;LONGITUDE;REDE;DATABASE
MP;400728;CEI INDIR;UNIAO DE VILA NOVA;SAO MIGUEL;SAO MIGUEL;;RUA RIO BENEDITO;30;UNIÃO DE VILA NOVA;08072012;20319720;;;Ativa;87;VILA JACUI;8701;35439101;439101;;;;;19/11/2010;22/10/2011;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;-23490477;-46457617;CON;30/04/2017
PE;400729;CEI INDIR;TIQUATIRA II;PENHA;PENHA;;RUA KAMPALA;230;JARDIM AMÉRICA DA PENHA;03704015;20935028;;;Ativa;59;PENHA;5901;35472025;472025;161074226000000;14/01/2010;51179;13/01/2010;;24/11/2015;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;-23516975;-46552184;CON;30/04/2017
IQ;400730;CEI INDIR;JOSE LOURENCO DE LIMA;ITAQUERA;ITAQUERA;;RUA DONA MARIA DE CAMARGO;106;ITAQUERA;08215260;;;;Ativa;37;ITAQUERA;3703;35438248;438248;;03/02/2010;2010.0.011.649.9;03/02/2010;03/02/2015;08/12/2011;BOM PASTRO III;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;-23531930;-46448172;CON;30/04/2017
SM;400731;CEI INDIR;JARDIM ANGELA;SAO MATEUS;SAPOPEMBA;;RUA SALVADOR DE MESQUITA;300;JARDIM ÂNGELA (ZONA LESTE);03985010;22690835;;;Ativa;76;SAPOPEMBA;7608;35448308;448308;;04/08/2010;51682;03/08/2010;;14/04/2012;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;-23605799;-46516009;CON;30/04/2017
CL;400732;CEI INDIR;EUCLIDES DA CUNHA;CAMPO LIMPO;CAMPO LIMPO;;RUA DA COSTA NOVA DO PRADO;110;JARDIM COMERCIAL;05885190;58725201;;;Ativa;19;CAPAO REDONDO;1905;35445563;445563;;15/06/2010;2010.0.055.705.3;15/06/2010;22/11/2010;12/07/2013;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;-23671371;-46779795;CON;30/04/2017
CL;400734;CEI INDIR;BELEZINHA;CAMPO LIMPO;CAMPO LIMPO;;RUA CANTANHEDE;300;PIRAJUSSARA;05790150;58242959;;;Ativa;17;CAMPO LIMPO;1706;35444625;444625;;13/08/2010;2010.0.077.087.3;13/08/2010;;23/08/2012;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;-23643827;-46785426;CON;30/04/2017
IP;400735;CEI INDIR;MARIA ANTONIETA DE CASTRO;IPIRANGA;SE;;RUA ARTUR PRADO;331;BELA VISTA;01322000;31429744;;31429744;Ativa;07;BELA VISTA;0701;35445162;445162;;18/08/2010;2010.0.146.954.9;18/08/2010;04/10/2010;;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;-23563362;-46643045;CON;30/04/2017
SA;400736;CEI INDIR;LYDIA DOS SANTOS CARRANO;SANTO AMARO;JABAQUARA;;AVENIDA GENERAL DALTRO FILHO;110;VILA PARQUE JABAQUARA;04330040;50112693;;50112693;Ativa;38;JABAQUARA;3804;35444777;444777;;27/08/2010;2010.0.232.449.8;27/08/2010;;04/10/2011;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;-23653184;-46646851;CON;30/04/2017
MP;400738;CEI INDIR;VEREDAS;SAO MIGUEL;ITAIM PAULISTA;;RUA LOURO-ROSA;6;JARDIM CAMARGO NOVO;08141670;25666908;;;Ativa;36;ITAIM PAULISTA;3609;35449040;449040;161077218000000;05/01/2011;52067;04/01/2011;01/03/2011;06/03/2012;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;-23513008;-46387862;CON;30/04/2017
CS;400739;CEI INDIR;PAULO FRANCISCO SECKLER PUCCA;CAPELA DO SOCORRO;CAPELA DO SOCORRO;;AVENIDA DONA BELMIRA MARIN;2500;PARQUE BRASIL;04846000;59397934;;;Ativa;30;GRAJAU;3002;35448151;448151;;04/02/2011;2010.0.333.166.8;17/01/2011;28/05/2013;18/10/2013;ROMEU TUMA, SENADOR;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;-23751844;-46688338;CON;30/04/2017
CS;400740;CEI INDIR;VERA LUCIA;CAPELA DO SOCORRO;CAPELA DO SOCORRO;;RUA SÃO JOSÉ DO RIO PRETO;400;CONJUNTO HABITACIONAL BRIGADEIRO FARIA L;04840460;59742587;;;Ativa;30;GRAJAU;3007;35450200;450200;;04/03/2011;201003007666;04/03/2011;12/04/2011;02/06/2015;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;-23755506;-46683011;CON;30/04/2017
CL;400741;CEI INDIR;CEDRINHO V;CAMPO LIMPO;CAMPO LIMPO;;RUA DA INDEPENDÊNCIA;475;PARAISÓPOLIS;05664015;35016149;;;Ativa;83;VILA ANDRADE;8302;35451745;451745;;21/02/2011;2010.0.205.883.6;21/02/2011;;22/11/2012;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;-23617960;-46722607;CON;30/04/2017
IQ;400742;CEI INDIR;JOAO FERNANDES IV;ITAQUERA;ITAQUERA;;RUA FLOR DA NOITE;50;JARDIM PEDRA BRANCA;08490740;22829252;;;Ativa;47;JOSE BONIFACIO;4706;35457589;457589;;29/07/2011;2011.0.191.618.0;29/07/2011;;13/03/2012;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;-23581450;-46417293;CON;30/04/2017
CS;400743;CEI INDIR;PAOLA;CAPELA DO SOCORRO;CAPELA DO SOCORRO;;RUA PAOLA;185;RECANTO MARISA;04851103;59337200;;;Ativa;30;GRAJAU;3010;35460631;460631;;15/08/2011;2011.0.138.510.0;15/08/2011;26/11/2011;14/11/2014;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;-23752081;-46670799;CON;30/04/2017
SM;400744;CEI INDIR;CONJUNTO HABITACIONAL APOMI;SAO MATEUS;SAO MATEUS;;RUA EMÍLIO RETROSI;6310;JARDIM MARILU;08371360;27354652;;;Ativa;33;IGUATEMI;3303;35471392;471392;161080219000000;19/01/2012;52925;17/01/2012;;10/12/2014;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;-23596494;-46425221;CON;30/04/2017
FO;400745;CEI INDIR;JARDIM CENTENARIO;FREGUESIA/BRASILANDIA;CASA VERDE/CACHOEIRINHA;;AVENIDA PARADA PINTO;259;VILA NOVA CACHOEIRINHA;02611000;39835678;;;Ativa;13;CACHOEIRINHA;1303;35469026;469026;161070190000000;16/03/2012;53027;15/03/2012;13/04/2012;14/07/2012;JARDIM CENTENARIO I;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;-23473089;-46667120;CON;30/04/2017
IQ;400746;CEI INDIR;CONJUNTO JOSE BONIFACIO;ITAQUERA;ITAQUERA;;RUA ISABEL URBINA;149;CONJUNTO RESIDENCIAL JOSÉ BONIFÁCIO;08253210;25215998;;;Ativa;47;JOSE BONIFACIO;4701;35468423;468423;;08/03/2012;2011.0.364.968.9;08/03/2012;;17/09/2014;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;-23546155;-46437478;CON;30/04/2017
FO;400747;CEI INDIR;JARDIM DAMASCENO II;FREGUESIA/BRASILANDIA;FREGUESIA/BRASILANDIA;;RUA ELISEU REINALDO MORAES VIEIRA;290;JARDIM BRASÍLIA (ZONA NORTE);02858000;39728321;;;Ativa;11;BRASILANDIA;1102;35481816;481816;161070191000000;27/03/2012;53051;27/03/2012;25/11/2013;10/04/2015;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;;-23446241;-46704379;CON;30/04/2017
JT;400748;CEI INDIR;VILA GUILHERME;JACANA/TREMEMBE;VILA MARIA/VILA GUILHERME;;RUA ANNA PAPINI GUARANHA;S/N;VILA GUILHERME;02029000;20890785;;;Ativa;86;VILA GUILHERME;8602;35477461;477461;161069209000000;29/05/2012;201102253959;29/05/2012;;01/10/2015;REINO ENCANTADO;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;-23511023;-46617924;CON;30/04/2017
IQ;400749;CEI INDIR;JARDIM IPANEMA I;ITAQUERA;ITAQUERA;;RUA ALFREDO VASCONCELOS;86;JARDIM ARIZE;03573150;2645-4359;;;Ativa;24;CIDADE LIDER;2401;35473819;473819;;02/10/2012;53.455;02/10/2012;;06/12/2013;JARDIM IPANEMA;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;;-23559629;-46508763;CON;30/04/2017
JT;400750;CEI INDIR;CEREJEIRAS;JACANA/TREMEMBE;VILA MARIA/VILA GUILHERME;;RUA SOLDADO JOSÉ HIGASKINO;5;JARDIM JAPÃO;02142030;29397293;;;Ativa;89;VILA MARIA;8905;35474548;474548;;01/06/2012;201201142179;01/06/2012;;17/11/2015;JENNY KLABIN SEGALL;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;-23510122;-46575400;CON;30/04/2017
JT;400751;CEI INDIR;JARDIM FONTALIS I;JACANA/TREMEMBE;JACANA/TREMEMBE;;ALAMEDA DOS CARDEAIS;18;JARDIM ESTRELA DALVA;02364750;22673778;;;Ativa;81;TREMEMBE;8104;35481804;481804;;03/07/2012;53269;03/07/2012;;23/12/2016;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;;-23433289;-46578890;CON;30/04/2017
SM;400752;CEI INDIR;JARDIM COLORADO I;SAO MATEUS;SAPOPEMBA;;RUA DOS BANQUEIROS;200;VILA BANCÁRIA;03918050;2116-5930;;;Ativa;76;SAPOPEMBA;7601;35482766;482766;;04/07/2012;53273;04/07/2012;;;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;-23588632;-46523056;CON;30/04/2017
IP;400753;CEI DIRET;GREGORIO WESTRUPP, PE.;IPIRANGA;VILA MARIANA;;RUA ESTADO DE ISRAEL;565;VILA CLEMENTINO;04022001;50845229;50845193;;Ativa;90;VILA MARIANA;9003;35478702;478702;161068207000000;20/07/2012;53301;20/07/2012;20/07/2012;;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;-23594404;-46645217;DIR;30/04/2017
MP;400754;CEI INDIR;CDHU ITAIM A;SAO MIGUEL;ITAIM PAULISTA;;RUA JOSÉ ALVES COELHO;221;JARDIM NÉLIA;08142180;;;;Ativa;36;ITAIM PAULISTA;3609;35476195;476195;161077220000000;09/08/2012;2012.0.191.600.0;09/08/2012;03/09/2012;;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;-23513013;-46385307;CON;30/04/2017
G;400755;CEI INDIR;JARDIM WILMA FLOR;GUAIANASES;CIDADE TIRADENTES;;RUA NOVA GUAIANAZES;1004;GUAIANAZES;08473001;25564859;;;Ativa;25;CIDADE TIRADENTES;2501;35477898;477898;161078191000000;19/09/2012;53.423;19/09/2012;;11/09/2014;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;-23572072;-46394561;CON;30/04/2017
CL;400756;CEI INDIR;MIRA ORUBE;CAMPO LIMPO;M'BOI MIRIM;;RUA TIQUIRA;S/N;MORRO DO ÍNDIO;05873390;58331143;58330290;;Ativa;43;JARDIM ANGELA;4302;35482336;482336;161072252000000;19/09/2012;53426;19/09/2012;;;TIQUIRA;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;;-23691551;-46776055;CON;30/04/2017
CL;400757;CEI INDIR;FIM DE SEMANA;CAMPO LIMPO;M'BOI MIRIM;;RUA SAGRADO CORAÇÃO DE JESUS;340;JARDIM IRACEMA;05847570;55137038;;;Ativa;46;JARDIM SAO LUIS;4603;35481129;481129;161072253000000;19/09/2012;53.427;19/09/2012;;;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;;-23655776;-46747765;CON;30/04/2017
CL;400758;CEI INDIR;JARDIM MARIA SAMPAIO;CAMPO LIMPO;CAMPO LIMPO;;AVENIDA AUGUSTO BARBOSA TAVARES;700;JARDIM IRACEMA;05790140;58447289;;;Ativa;17;CAMPO LIMPO;1706;35495335;495335;161072254000000;19/09/2012;53428;19/09/2012;;12/09/2014;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;;-23641673;-46785010;CON;30/04/2017
CL;400759;CEI INDIR;CAMPO LIMPO IV;CAMPO LIMPO;CAMPO LIMPO;;RUA ANTÔNIO ANTUNES;215;VILA PIRAJUSSARA;05786020;23388641;23388029;;Ativa;17;CAMPO LIMPO;1705;35482043;482043;161072251000000;19/09/2012;53424;19/09/2012;;;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;;-23637853;-46771600;CON;30/04/2017
CL;400760;CEI INDIR;CAMPO LIMPO V;CAMPO LIMPO;CAMPO LIMPO;;RUA JOÃO RODRIGUES DE MOURA;S/N;JARDIM PIRACUAMA;05763440;55129461;;;Ativa;17;CAMPO LIMPO;1704;35562993;562993;161072250000000;19/09/2012;53425;19/09/2012;;;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;;;-23646367;-46761440;CON;30/04/2017
SM;400762;CEI DIRET;MARIA APARECIDA NASCIMENTO;SAO MATEUS;SAO MATEUS;;RUA JORGE CARLOS DE ALMEIDA;66;JARDIM SANTO ANDRÉ;08390355;22538613;;;Ativa;75;SAO RAFAEL;7505;35496169;496169;161080221000000;19/09/2012;53422;19/09/2012;02/10/2013;;JARDIM SANTO ANDRE I;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;;-23629845;-46443745;DIR;30/04/2017
IQ;400763;CEI INDIR;CIDADE A. E. CARVALHO II;ITAQUERA;ITAQUERA;;RUA RAIMUNDO GONÇALVES FERREIRA;140;JARDIM AURORA (ZONA LESTE);08225410;20417465;;;Ativa;37;ITAQUERA;3706;35478672;478672;161076193000000;02/10/2012;53.453;02/10/2012;05/12/2012;17/09/2014;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;;-23530259;-46464995;CON;30/04/2017
IQ;400764;CEI INDIR;CONJUNTO HABITACIONAL ITAQUERA IV;ITAQUERA;ITAQUERA;;RUA CASA NO CAMPO;10;CONJUNTO RESIDENCIAL JOSÉ BONIFÁCIO;08257050;25227010;;;Ativa;47;JOSE BONIFACIO;4703;35478404;478404;161076194000000;02/10/2012;53454;02/10/2012;;17/09/2014;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;-23553549;-46429986;CON;30/04/2017
PE;400765;CEI INDIR;VILA SILVIA I;PENHA;PENHA;;RUA NOVO ORIENTE DO PIAUÍ;170;VILA SÍLVIA;03820310;22148517;;;Ativa;18;CANGAIBA;1803;35497204;497204;;05/10/2012;53465;05/10/2012;03/02/2014;03/12/2015;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;;;-23494359;-46506621;CON;30/04/2017
PE;400766;CEI INDIR;CONJUNTO HABITACIONAL PADRE MANUEL DE PAIVA;PENHA;PENHA;;RUA ESTÉFANO FILIPINI;105;CONJUNTO HABITACIONAL PADRE MANOEL DE PA;03591150;23057943;;23057943;Ativa;05;ARTUR ALVIM;0503;35496625;496625;161074228000000;05/10/2012;53466;05/10/2012;;13/11/2015;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;;-23552508;-46481876;CON;30/04/2017
PE;400767;CEI INDIR;ALFAZEMAS I;PENHA;ERMELINO MATARAZZO;;RUA ITAPIPINAS;610;JARDIM ARTUR ALVIM;03687020;20465161;;;Ativa;64;PONTE RASA;6402;35497198;497198;161074229000000;08/10/2012;53469;08/10/2012;27/08/2013;19/02/2016;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;;-23525491;-46486440;CON;30/04/2017
MP;400769;CEI INDIR;JARDIM LAPENA;SAO MIGUEL;SAO MIGUEL;;RUA DOUTOR ALMIRO DOS REIS;54;JARDIM LAPENA;08071170;20580281;;;Ativa;74;SAO MIGUEL;7401;35480575;480575;161077222000000;18/10/2012;53483;18/10/2012;01/02/2013;;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;;-23489104;-46447575;CON;30/04/2017
G;400770;CEI INDIR;FAZENDA DO CARMO II A;GUAIANASES;CIDADE TIRADENTES;;RUA INDIRA GHANDI;2000;CONJUNTO HABITACIONAL FAZENDA DO CARMO;08421350;25184260;;;Ativa;25;CIDADE TIRADENTES;2508;35478520;478520;161078193000000;15/10/2012;201202552621;15/10/2012;17/12/2013;;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;;-23568894;-46417586;CON;30/04/2017
PJ;400771;CEI INDIR;VILA CLARICE;PIRITUBA;PIRITUBA;;RUA DESEMBARGADOR JOAQUIM BANDEIRA DE MELLO;642;CONJUNTO RESIDENCIAL VISTA VERDE;05171500;39023670;43238616;;Ativa;63;PIRITUBA;6301;35562828;562828;161071227000000;30/10/2012;53504;30/10/2012;;05/05/2015;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;;;-23474483;-46749709;CON;30/04/2017
SM;400772;CEI INDIR;CONJUNTO HABITACIONAL TEOTONIO VILELA I;SAO MATEUS;SAPOPEMBA;;RUA TOMÁS DE SANTA MARIA;78;CONJUNTO HABITACIONAL TEOTONIO VILELA;03928170;22696301;;;Ativa;76;SAPOPEMBA;7603;35560893;560893;161080223000000;26/11/2012;53559;26/11/2012;;;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;;;-23605872;-46503959;CON;30/04/2017
PJ;400773;CEI INDIR;PIRITUBA;PIRITUBA;PIRITUBA;;AVENIDA ELÍSIO TEIXEIRA LEITE;7273;SÍTIO MORRO GRANDE;02810000;39742800;;;Ativa;42;JARAGUA;4208;35563225;563225;161071229000000;07/11/2012;53516;07/11/2012;;;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;;;-23438229;-46717283;CON;30/04/2017
PJ;400774;CEI INDIR;ILHA DA JUVENTUDE;PIRITUBA;PIRITUBA;;RUA ILHA DA JUVENTUDE;S/N;VILA BRASILÂNDIA;02820000;39790922;;39790922;Ativa;42;JARAGUA;4209;35482687;482687;161071230000000;07/11/2012;53517;07/11/2012;;;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;;-23445220;-46708955;CON;30/04/2017
PJ;400775;CEI INDIR;PARQUE DAS NACOES;PIRITUBA;PIRITUBA;;RUA PAULO PATARRA;S/N;PARQUE NAÇÕES UNIDAS;02996205;39441559;;;Ativa;42;JARAGUA;4205;35565313;565313;161071231000000;07/11/2012;53518;07/11/2012;;;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;;;-23437453;-46740194;CON;30/04/2017
SM;400776;CEI INDIR;PEQUENINOS DO REINO;SAO MATEUS;SAO MATEUS;;TRAVESSA DA DISPERSÃO;20;JARDIM RODOLFO PIRANI;08311430;22538985;;22538985;Ativa;75;SAO RAFAEL;7504;35481889;481889;161080222000000;26/11/2012;53557;26/11/2012;;07/07/2016;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;;-23633954;-46455934;CON;30/04/2017
IP;400777;CR.P.CONV;MIGUEL AFONSO DE OLIVEIRA;IPIRANGA;VILA PRUDENTE;;RUA MONTEIRO SOARES FILHO;652;PARQUE DA VILA PRUDENTE;03141010;45622790;;;Ativa;93;VILA PRUDENTE;9302;35480733;480733;;03/09/2012;20120253806;03/09/2012;04/02/2013;;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;;-23587951;-46573707;CON;30/04/2017
CL;400778;CR.P.CONV;JARDIM ECOLOGICO GUARAPIRANGA I;CAMPO LIMPO;M'BOI MIRIM;;RUA CARLOS GUILHERME SCHIMID;350;JARDIM MARQUESA;04921180;58279021;;;Ativa;46;JARDIM SAO LUIS;4605;35814283;814283;;;;;;25/04/2012;JARDIM ECOLOGICO GUARAPIRANGA;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;-23697061;-46748649;CON;30/04/2017
PJ;400779;CR.P.CONV;PEQUENO PRINCIPE;PIRITUBA;PERUS;;RUA ANTONIO MAIA;550;VILA PERUS;05204110;39191203;;;Ativa;61;PERUS;6101;35813291;813291;;;;;;19/09/2012;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;-23407487;-46753744;CON;30/04/2017
MP;400781;CEI INDIR;JARDIM LAPENA I;SAO MIGUEL;SAO MIGUEL;;RUA SERRA DA JURUOCA;150;JARDIM LAPENA;08071180;2058-4791;;20584791;Ativa;74;SAO MIGUEL;7401;35479482;479482;;07/12/2012;53613;07/12/2012;18/03/2013;;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;;-23488279;-46447817;CON;30/04/2017
MP;400782;CEI INDIR;CDHU JACUI A;SAO MIGUEL;SAO MIGUEL;;RUA JAPICHAUA;313;JARDIM MATARAZZO;03813310;;;;Ativa;87;VILA JACUI;8701;35479561;479561;;17/12/2012;2012;17/12/2012;03/06/2013;;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;;-23481587;-46470547;CON;30/04/2017
BT;400783;CEI INDIR;JARDIM EDITE;BUTANTA;PINHEIROS;;RUA CHARLES COULOMB;30;CIDADE MONÇÕES;04576030;55053015;;;Ativa;35;ITAIM BIBI;3503;35483436;483436;;29/12/2012;53.677;29/12/2012;;;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;;-23612950;-46695209;CON;30/04/2017
G;400784;CEI INDIR;CONJUNTO HABITACIONAL SANTA ETELVINA VI;GUAIANASES;CIDADE TIRADENTES;;RUA DOS TÊXTEIS;2155;CHÁCARA SANTA ETELVINA;08490600;22824729;;;Ativa;25;CIDADE TIRADENTES;2506;35481944;481944;161078194000000;31/01/2013;53.716;31/01/2013;;;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;;-23597055;-46396844;CON;30/04/2017
CS;400787;CEI INDIR;PARQUE NOVO GRAJAU;CAPELA DO SOCORRO;CAPELA DO SOCORRO;;RUA CORNÉLIO DOPPER;1100;PARQUE NOVO GRAJAÚ;04847000;56615861;;;Ativa;30;GRAJAU;3002;35561368;561368;161075192000000;01/02/2013;53721;01/02/2013;05/02/2014;;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;;;-23754818;-46695929;CON;30/04/2017
CS;400789;CEI INDIR;MARINA VILLARES DA SILVA NOVAES;CAPELA DO SOCORRO;CAPELA DO SOCORRO;;RUA LOUIS DAQUIN;99;PARQUE BRASIL;04843070;59392471;;;Ativa;30;GRAJAU;3003;35482262;482262;;25/02/2013;201203574254;25/02/2013;15/10/2013;15/10/2013;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;;-23738514;-46695452;CON;30/04/2017
SM;400790;CEI INDIR;MONTEIRO LOBATO;SAO MATEUS;SAO MATEUS;;RUA GOMES DE MELO;80;JARDIM NOVE DE JULHO;03951070;20112859;;;Ativa;73;SAO MATEUS;7301;35482717;482717;;25/02/2013;2012.0.350.619.4;25/02/2013;;19/11/2013;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;;-23585790;-46489245;CON;30/04/2017
MP;400791;CEI INDIR;NOVO CRUZEIRO;SAO MIGUEL;ITAIM PAULISTA;;RUA NOVO CRUZEIRO;391;JARDIM ROBRU;08441060;20353080;;;Ativa;84;VILA CURUCA;8408;35495451;495451;161077230000000;22/07/2013;201301159421;22/07/2013;14/07/2014;;NOVA CRUZEIRO;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;;;-23527284;-46406216;CON;30/04/2017
CL;400792;CEI INDIR;CAPAO REDONDO I;CAMPO LIMPO;CAMPO LIMPO;;RUA ARROIO TIPIAIÁ;269;CONJUNTO HABITACIONAL INSTITUTO ADVENTIS;05868870;55137412;;;Ativa;19;CAPAO REDONDO;1905;35498543;498543;;29/11/2013;201302815535;29/11/2013;;20/12/2014;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;;;-23661445;-46772614;CON;30/04/2017
IP;400793;CEI INDIR;CACHOEIRA DE SAO BENEDITO;IPIRANGA;VILA PRUDENTE;;RUA CACHOEIRA SÃO BENEDITO;100;VILA SÃO NICOLAU;03254390;20360137;;;Ativa;72;SAO LUCAS;7203;35518897;518897;161068211000000;14/01/2014;54764;14/01/2014;26/03/2014;;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;;;;;;;;-23613052;-46535802;CON;30/04/2017
